FOLIO,NOMBRE COMERCIAL,Directorio,REPRESENTANTE LEGAL,DOMICILIO,MUNICIPIO,NOMBRE(S),ENTREGA,VIGENCIA,Acerca,QUEJAS Y DENUNCIAS,FOTO
SDE/COL/REAI/034,VILLALBA SERVICIOS Y TRAMITES INMOBILIARIOS,,,"ROSA MORADA 17-B, COL. ARBOLEDAS, MANZANILLO",MANZANILLO,SDE/COL/REAI/034-054 -  JOSE LUIS BARAJAS VILLALVAZO,29/10/2024,29/10/2024,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d5858ab7ba_034_VILLALVA_SERVICIOS_Y_TRAMITES_INMOBILIARIOS.jpg
SDE/COL/REAI/035,EXCELLENTUM EJECUTIVOS INMOBILIARIOS,,,"AV. PASEO DE LAS GARZAS 53, FRAC. SOLEARES, MANZANILLO",MANZANILLO,SDE/COL/REAI/035-055 - JOSÉ GUADALUPE LÓPEZ MONTES,29/10/2024,29/10/2024,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d585181414_035_EXCELLENTUM_EJECUTIVOS_INMOBILIARIOS.jpeg
SDE/COL/REAI/036,INMOBILIARIA SAUCEDO,,,"AV. PASEO DE LAS GAVIOTAS 62, COL. SALAGUA, MANZANILLO",MANZANILLO,"SDE/COL/REAI/036-056 -  MARÍA ALICIA MELCHOR SAUCEDO  SDE/COL/REAI/036-068 -  ELISA YASMIN TORRES SILVA",29/10/2024,29/10/2024,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d5853c3a67_036_INMOBILIARIA_SAUCEDO.jpeg
SDE/COL/REAI/037,LARA´S HOME INMOBILIARIA,,,"2 DE DICIEMBRE # 18, FRAC. LOMA DE SANTIAGO, MANZANILLO",MANZANILLO,SDE/COL/REAI/037-057 - LETICIA FLORES LARA,29/11/2024,29/11/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d60b29e06e_037_LARAS_HOME_INMOBILIARIA.jpeg
SDE/COL/REAI/038,TORRES ASESOR DE INVERSION INMOBILIARIA,,,"JOSÉ VASCONCELOS 507, COL. NUEVO SALAGUA, MANZANILLO",MANZANILLO,SDE/COL/REAI/038-058 - ERICKA EDITH MEJÍA ALFARO,29/10/2024,29/10/2024,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d585610b60_038_TORRES_ASESOR_DE_INVERSIN_INMOBILIARIA.jpeg
SDE/COL/REAI/039,INMOBILIARIA GIR        ,,,"CUAUHTEMOC 19, COL. VIVEROS PELAYO, MANZANILLO",MANZANILLO,SDE/COL/REAI/039-059 YESENIA RAMOS GONZÁLEZ    SDE/COL/REAI/039-078 GIOVANNA SARAI HERNÁNDEZ RAMOS,29/11/2024,29/11/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,SDE/COL/REAI/040,FOLIOS CANCELADO POR FALTA DE DOCUMENTOS,,,FOLIOS CANCELADO POR FALTA DE DOCUMENTOS,,FOLIOS CANCELADO POR FALTA DE DOCUMENTOS,29/10/2024,29/10/2024,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d62388641d_Logotipo_tipografico_rectangular_minimalista_blanco_y_negro_1.png
SDE/COL/REAI/041,PASTORA'S BIENES RAICES,,,"ORQUÍDEAS 31, BARRIO III, COL. VALLE DE LAS GARZAS, MANZANILLO", MANZANILLO,SDE/COL/REAI/041-061 - PASTORA JOSEFINA CABRERA VÁZQUEZ,29/10/2024,29/10/2024,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d585af1d3c_041_PASTORAS_BIENES_RAICES.jpeg
SDE/COL/REAI/042,ABONDANZZA INMOBILIARIA,,,"CALLE 2 # 8, UNIDAD PADRE HIDALGO, MANZANILLO", MANZANILLO,SDE/COL/REAI/042-062  MARTHA LILIANA CARREÓN OROZCO ,29/11/2024,29/11/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_685b1a0098a34_042_ABONDANZZA.jpeg
SDE/COL/REAI/043,GLAFEL BIENES RAICES,,,"MAR MEDITERRANEO 161, COTO 7, VILLA DEL MAR, MANZANILLO", MANZANILLO,SDE/COL/REAI/043-063 - MARÍA DEL ROCIO ÁLVAREZ MADERA,29/10/2024,29/10/2024,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d585f89128_043_GLAFEL_BIENES_RAICES.jpeg
SDE/COL/REAI/044,INMOBILIARIA BRISA MAR,,,"NARANJO 2 L-3, COL. LAS HUERTAS, MANZANILLO",MANZANILLO,SDE/COL/REAI/044-064 - MARTHA ELVIRA ÁLVAREZ ELIZONDO,29/10/2024,29/10/2024,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d5861c9116_044_BRISAMAR_INMOBILIARIA.jpeg
